# Generated by tools/ghidra/build_corpus_manifest.py — DO NOT HAND-EDIT.
# Grain: one row per (sweep TAG, Ghidra program). TAG is the join key to sweep.sh.
# Verify coverage with: py tools/ghidra/preflight.py   (drift = exit 2/3)
TAG	ROLE	PROJECT	REP	PROGRAM	SELECTED	ACQUISITION	STEAM_APPID	STEAM_INSTALLDIR	STEAM_LIB_TODAY	STEAM_GB	BINARY_STATE	PATH_TODAY	GHIDRA_PATH	RECORDED_MD5	PDB	REP_GB	NOTE
UE4.15-Flying	ORACLE	UE415_Flyinh-Win64-Shipping	YES	UE415_Flyinh-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	X:\UE_Analyze_Data\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	X:\UE_Analyze_Data\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	2f94653fdbe932fba33e687eff58d516	YES	1.16	-
UE4.20-Everspace	ORACLE	ES1-420	YES	RSG-Win64-Shipping.exe	yes	STEAM	396750	EVERSPACE	H:\SteamLibrary	10.4	MATCH	H:\SteamLibrary\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	d6e8511c9a6c18bae3377f6584ea5e74	YES	1.67	-
UE4.20-HeliumRain	ORACLE	HeliumRain	YES	HeliumRain-Win64-Shipping.exe	yes	STEAM	681330	HeliumRain	H:\SteamLibrary	3.9	MATCH	H:\SteamLibrary\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	4dd8b021b63fc97f9bd513321a5354cf	YES	1.39	-
UE4.22-Satisfactory	ORACLE	Satisfactory_UE422	YES	FactoryGame-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	D:\tmp\Game archive\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	a1df9f191f8978e6c05d7919237be565	YES	2.58	-
UE4.23-Flying	ORACLE	UE423_Flying-Win64_Shipping	YES	UE423_Flying-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	D:\Unreal Projects\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	D:\Unreal Projects\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	f61ec1be259922847178fe6a0a42817b	YES	1.34	-
UE4.24-DropIn	ORACLE	DropIn_UE424	YES	DropIn.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	D:\tmp\Game archive\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	2f640ff0d11784a430a1edb845743e1f	YES	3.76	-
UE4.25-Everspace2	ORACLE	ES2-UE425	YES	ES2-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	D:\tmp\Game archive\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	0588eacdee27ea0bf105727789727fd8	YES	1.98	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Core-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	1fd90d385eab7156f61ff4245e61bdaf	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-CoreUObject-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	ba47b71affb0d1b94e8a6c37c8c96f80	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Engine-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	643132b60bf639d9daca780a4b117b79	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-FactoryGame-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE4.26.2\FactoryGame\Binaries\Win64\FactoryGame-FactoryGame-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE4.26.2\FactoryGame\Binaries\Win64\FactoryGame-FactoryGame-Win64-Shipping.dll	0568e292e032ee765a828da3cee43d6b	YES	2.12	-
UE4.27-DropIn	ORACLE	DropIn	YES	DropIn.exe	yes	STEAM	1144800	Drop In - VR Battle Royale	H:\SteamLibrary	3.8	MATCH	H:\SteamLibrary\steamapps\common\Drop In - VR Battle Royale\DropIn\Binaries\Win64\DropIn.exe	H:\SteamLibrary\steamapps\common\Drop In - VR Battle Royale\DropIn\Binaries\Win64\DropIn.exe	a3418669177c263dc6bc61c754612287	YES	5.21	-
UE4.27-Breeders	ORACLE	Breeders_of_the_Nephelym	YES	OBF-Win64-Shipping.exe	yes	STEAM	1161770	Breeders of the Nephelym	H:\SteamLibrary	5.8	MATCH	H:\SteamLibrary\steamapps\common\Breeders of the Nephelym\OBF\Binaries\Win64\OBF-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\Breeders of the Nephelym\OBF\Binaries\Win64\OBF-Win64-Shipping.exe	b2747cfcc9d56e1ea52717ca1c1958d1	YES	2.84	-
UE4.27-Maelstrom	ORACLE	Maelstrom	YES	MaelstromV2-Win64-Shipping.exe	yes	STEAM	764050	Maelstrom	H:\SteamLibrary	5.9	MATCH	H:\SteamLibrary\steamapps\common\Maelstrom\MaelstromV2\Binaries\Win64\MaelstromV2-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\Maelstrom\MaelstromV2\Binaries\Win64\MaelstromV2-Win64-Shipping.exe	1a66f1a9356ccae85a463179a8b1b678	YES	3.81	-
UE5.2-Satisfactory	ORACLE	SF521_pdb	YES	FactoryGame-Core-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	457f3e6505c19638fd04bf2d1d1963dd	YES	1.41	-
UE5.2-Satisfactory	ORACLE	SF521_pdb	YES	FactoryGame-CoreUObject-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	3fcc1ef529cf51cc466dd4521c507252	YES	1.41	-
UE5.2-Satisfactory	ORACLE	SF521_pdb	YES	FactoryGame-Engine-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	D:\tmp\Game archive\Satisfactory\UE5.2.1\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	74169a57b1ee2da744c9b464811902bf	YES	1.41	-
UE5.5-Everspace2	ORACLE	ES2-0517	YES	ES2-Win64-Shipping.exe	yes	STEAM	1128920	EVERSPACE™ 2	D:\SteamLibrary	32.6	DRIFTED	D:\SteamLibrary\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	D:\SteamLibrary\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	1a1b0ede76b80a173969343683579129	YES	11.38	-
UE5.5-Everspace2b	ORACLE	ES2_UE55	YES	ES2-Win64-Shipping.exe	yes	STEAM	1128920	EVERSPACE™ 2	D:\SteamLibrary	32.6	MATCH	D:\SteamLibrary\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	D:\SteamLibrary\steamapps\common\EVERSPACE™ 2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	85daf780d2b1cdf6ffb0ca017d0ba3b2	YES	6.61	-
UE5.5-Meltopia	ORACLE	Meltopia_V2	YES	Meltopia-Win64-Shipping.exe	yes	STEAM	3601800	Meltopia	H:\SteamLibrary	2.2	MATCH	H:\SteamLibrary\steamapps\common\Meltopia\Meltopia\Binaries\Win64\Meltopia-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\Meltopia\Meltopia\Binaries\Win64\Meltopia-Win64-Shipping.exe	bed6161f888a2f91ccc5d9d1284339f9	YES	4.54	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	CrashReportClient.exe	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\CrashReportClient.exe	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\CrashReportClient.exe	04e9f6c649e66b244c525b3b3529f83f	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-AudioMixer-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-AudioMixer-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-AudioMixer-Win64-Shipping.dll	3e5316692b6780ae0385c4ddbef214e9	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-AudioMixerCore-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-AudioMixerCore-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-AudioMixerCore-Win64-Shipping.dll	f5c65b749617a0c773577c813753c807	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-Core-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-Core-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-Core-Win64-Shipping.dll	f9fe8df78638fe1e39d4df7fdba9c498	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-CoreUObject-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-CoreUObject-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-CoreUObject-Win64-Shipping.dll	c48c90e11e32f9f3ee0d9e716d523978	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-Engine-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-Engine-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-Engine-Win64-Shipping.dll	90629b0fc4eb3a484d3e995beefb9aa8	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-FactoryGame-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\FactoryGame\Binaries\Win64\FactoryGameSteam-FactoryGame-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\FactoryGame\Binaries\Win64\FactoryGameSteam-FactoryGame-Win64-Shipping.dll	013693d99417ca0079421986c7e33bda	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-InputCore-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-InputCore-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-InputCore-Win64-Shipping.dll	ea53e2b15d20bbcb228e890a2e3e0bf8	YES	4.08	-
UE5.6-Satisfactory	ORACLE	Satisfactory_v1.2.3.1	YES	FactoryGameSteam-InputDevice-Win64-Shipping.dll	yes	STEAM	526870	Satisfactory	H:\SteamLibrary	28.2	MATCH	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-InputDevice-Win64-Shipping.dll	H:\SteamLibrary\steamapps\common\Satisfactory\Engine\Binaries\Win64\FactoryGameSteam-InputDevice-Win64-Shipping.dll	fd7c0b69d91fbfa54d2360e107c4b18d	YES	4.08	-
UE5.7-Solarpunk	ORACLE	Solarpunk	YES	SolarpunkSteam-Win64-Shipping.exe	yes	STEAM	1805110	Solarpunk	H:\SteamLibrary	2.2	MATCH	H:\SteamLibrary\steamapps\common\Solarpunk\Solarpunk\Binaries\Win64\SolarpunkSteam-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\Solarpunk\Solarpunk\Binaries\Win64\SolarpunkSteam-Win64-Shipping.exe	0183b6d7c5545c71d3c48fba527e01f9	YES	5.43	-
UE5.7.4-StackOBot	ORACLE	StackOBot_Shipping_UE574	YES	StackOBot-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	X:\UE_Analyze_Data\Varies Version builds\5.7\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	X:\UE_Analyze_Data\Varies Version builds\5.7\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	a3210d8989fa95bf33fdc691b2c090a3	YES	4.05	-
UE5.8-StackOBot	ORACLE	StackOBot_Shipping_UE58	YES	StackOBot-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	X:\UE_Analyze_Data\Varies Version builds\5.8\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	X:\UE_Analyze_Data\Varies Version builds\5.8\Stack_O_Bot\Shipping\Windows\StackOBot\Binaries\Win64\StackOBot-Win64-Shipping.exe	03a2c57f56f617d6bdaf508d56a740bf	YES	4.44	-
UE4.18-FF7R	ORACLE	FF7R	YES	ff7remake_.exe	yes	STEAM	1462040	FINAL FANTASY VII REMAKE	NOT-INSTALLED	-	GONE	-	D:\SteamLibrary\steamapps\common\FINAL FANTASY VII REMAKE\End\Binaries\Win64\ff7remake_.exe	3ea9092f78c168a8a2e165f28c72bb93	UNKNOWN	1.73	-
UE5.1-Grimhook	ORACLE	Grimhook	YES	Grimhook-Win64-Shipping.exe	yes	STEAM	2667430	Grimhook	H:\SteamLibrary	1.4	MATCH	H:\SteamLibrary\steamapps\common\Grimhook\Grimhook\Binaries\Win64\Grimhook-Win64-Shipping.exe	H:\SteamLibrary\steamapps\common\Grimhook\Grimhook\Binaries\Win64\Grimhook-Win64-Shipping.exe	aec276fa6110cb944d1be980b894b596	YES	2.79	-
